file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,201,css,5e0e21d4,Donghyun Koo,2026-04-30,17:42:53,-07:00,2026-04-30T17:42:53-07:00,1,9
style.css,202,css,5e0e21d4,Donghyun Koo,2026-04-30,17:42:53,-07:00,2026-04-30T17:42:53-07:00,0,0
style.css,203,css,5e0e21d4,Donghyun Koo,2026-04-30,17:42:53,-07:00,2026-04-30T17:42:53-07:00,0,0
style.css,204,css,5e0e21d4,Donghyun Koo,2026-04-30,17:42:53,-07:00,2026-04-30T17:42:53-07:00,0,21
style.css,205,css,5e0e21d4,Donghyun Koo,2026-04-30,17:42:53,-07:00,2026-04-30T17:42:53-07:00,1,14
style.css,206,css,5e0e21d4,Donghyun Koo,2026-04-30,17:42:53,-07:00,2026-04-30T17:42:53-07:00,1,12
style.css,207,css,5e0e21d4,Donghyun Koo,2026-04-30,17:42:53,-07:00,2026-04-30T17:42:53-07:00,0,0
style.css,208,css,5e0e21d4,Donghyun Koo,2026-04-30,17:42:53,-07:00,2026-04-30T17:42:53-07:00,0,0
style.css,209,css,5e0e21d4,Donghyun Koo,2026-04-30,17:42:53,-07:00,2026-04-30T17:42:53-07:00,0,5
style.css,210,css,5e0e21d4,Donghyun Koo,2026-04-30,17:42:53,-07:00,2026-04-30T17:42:53-07:00,1,10
style.css,211,css,5e0e21d4,Donghyun Koo,2026-04-30,17:42:53,-07:00,2026-04-30T17:42:53-07:00,1,55
style.css,212,css,5e0e21d4,Donghyun Koo,2026-04-30,17:42:53,-07:00,2026-04-30T17:42:53-07:00,1,11
style.css,213,css,5e0e21d4,Donghyun Koo,2026-04-30,17:42:53,-07:00,2026-04-30T17:42:53-07:00,0,0
style.css,214,css,5e0e21d4,Donghyun Koo,2026-04-30,17:42:53,-07:00,2026-04-30T17:42:53-07:00,1,13
style.css,215,css,5e0e21d4,Donghyun Koo,2026-04-30,17:42:53,-07:00,2026-04-30T17:42:53-07:00,1,9
style.css,216,css,5e0e21d4,Donghyun Koo,2026-04-30,17:42:53,-07:00,2026-04-30T17:42:53-07:00,1,18
style.css,217,css,5e0e21d4,Donghyun Koo,2026-04-30,17:42:53,-07:00,2026-04-30T17:42:53-07:00,0,0
style.css,218,css,5e0e21d4,Donghyun Koo,2026-04-30,17:42:53,-07:00,2026-04-30T17:42:53-07:00,1,24
